rideable_type,month_year,member_casual,count(ride_id)
Classic Bike,Apr-21,member,143843
Electric Bike,Apr-21,member,56786
Classic Bike,Aug-21,member,273045
Electric Bike,Aug-21,member,118636
Classic Bike,Dec-20,member,59297
Docked Bike,Dec-20,member,8036
Electric Bike,Dec-20,member,34160
Classic Bike,Feb-21,member,29317
Electric Bike,Feb-21,member,10174
Classic Bike,Jan-21,member,53441
Docked Bike,Jan-21,member,1
Electric Bike,Jan-21,member,25275
Classic Bike,Jul-21,member,265420
Electric Bike,Jul-21,member,114934
Classic Bike,Jun-21,member,246775
Electric Bike,Jun-21,member,112139
Classic Bike,Mar-21,member,107017
Electric Bike,Mar-21,member,37446
Classic Bike,May-21,member,185143
Electric Bike,May-21,member,89574
Docked Bike,Nov-20,member,105569
Electric Bike,Nov-20,member,66048
Classic Bike,Nov-21,member,122173
Electric Bike,Nov-21,member,130876
Classic Bike,Oct-21,member,210550
Electric Bike,Oct-21,member,163434
Classic Bike,2021-09-01,member,266818
Electric Bike,2021-09-01,member,125439
