start_station_name,start_station_id,count(ride_id),start_lat,start_lng,member_casual
Lake Shore Dr & North Blvd,268,313785,41.91,-87.62,casual
Streeter Dr & Grand Ave,35,66538,41.8923,-87.6123,casual
Millennium Park,90,34315,41.8811,-87.6241,casual
Michigan Ave & Oak St,85,30491,41.901,-87.6237,casual
Shedd Aquarium,3,23301,41.8672,-87.6153,casual
Theater on the Lake,177,22169,41.9263,-87.631,casual
Lake Shore Dr & Monroe St,76,21385,41.881,-87.6168,casual
Wells St & Concord Ln,289,20244,41.912,-87.6348,casual
Clark St & Lincoln Ave,141,17402,41.9158,-87.6347,casual
Indiana Ave & Roosevelt Rd,255,17252,41.8679,-87.623,casual
